id,course,category,week,title,weekday,infotitle,info,resources,slides,recordings,zoom,document
1,EXSYS,Literature,17,Scenarios,Thursday,Scenarier og user stories,"
Læsevejledning
I denne uge skal vi kigge på hvordan vi binder praktiske observationer og indsigt fra interviews og workshops sammen og får dem beskrevet på en måde at de kan hjælpe os i udviklingsprocessen. Vi skal arbejde med hvordan vi kommer fra empiriske observationer (Lazar et al. 2017) til arbejdsmodeller (Beyer 2010) og forståelse af rutiner og patterns (Martin et al. 2001), til scenarier (Carol 1999), personaer (Beyer 2010) og sidst de user stories der skal drive udviklingsprocessen (Beyer 2010; Cohn 2004). Alle teksterne repræsenterer noget I skal arbejde aktivt med, så forsøg at læs den forud for forelæsningen én gang og så brug dem som reference når I skal lave opgaver omkring dem til TØ og i projektet.
Hvis I af en eller anden årsag endnu ikke har fået læst Beyer, så gå tilbage til ugesedlen fra sidste uge og læs ""User-Centered Agile Methods"" -- I denne uge skal vi bruge metoder fra kapitel 5.
Finding Patterns in the Fieldwork
Martin, D., Rodden, T., Rouncefield, M., Sommerville, I., & Viller, S. (2001). Finding patterns in the fieldwork. In ECSCW 2001 (pp. 39-58). Springer, Dordrecht. (tilgængelig frea EUSSET Digital Library https://dl.eusset.eu/bitstream/20.500.12015/2462/1/00154.pdf )
Henriks estimat: Omfang 17 sider; læsetid: 50 minutter; niveau: svær
Denne tekst hænger primært sammen med Lazar et al. (2017) (og Heath and Luff 1991) og diskuterer hvordan vi kan arbejde opsummering og generalisering af empiriske observationer i form af beskrivelser af rutiner og patterns. Teksten tager udgangspunkt i idéen om patterns fra Alexander et al.'s (1977) arbejde med ‘A Pattern Language’. Alexander et al.'s idé om patterns har også give inspiration til de software patterns I kender fra Gang of Four og andre steder. I skal særligt lægge mærke til forskellen mellem design patterns og descriptive patters og fokusere på hvad de mener med og hvordan I kan udvikle descriptive patterns.
Tænke og diskussionsøvelser
Diskuter forskellen mellem design patterns og descriptive patterns som tekste opstiller det?
Diskuter forskellen på descriptive patterns og software patterns?
Hvilken rolle spiller spatially- og work oriented features i descriptive patterns?
Hvordan passer spatially- og work oriented features sammen med Heath og Luff (1991) studiet?
Forsøg at opstille descriptive patterns ud fra jeres case studier fra aflevering 2 ud fra de features der beskrives på side 50 og 51, samt figur 2.
Scenarier i design
Carrol, J. M. (1999, January). Five reasons for scenario-based design. In Proceedings of the 32nd Annual Hawaii International Conference on Systems Sciences. 1999. HICSS-32. (pp. 11-pp). IEEE. DOI: https://doi.org/10.1109/HICSS.1999.772890
Henriks estimat: Omfang 10 sider; læsetid: 40 minutter; niveau: middel-svær
Denne tekst er en grundlæggende gennemgang af scenarier. I skal læse den så I har forstået hvad scenarier er og kan. Start med at læse introduktionen og afsnit 2 omkring scenarier. Gå derefter de næste afsnit igennem to afsnit af gangen (et ‘challenge’ afsnit og det efterfølgende ""svar afsnit"") (3+4, 5+6, 7+8, 9+10, 11+12). For hvert par af afsnit forsøg at identificer hvad den konkrete udfordring er og hvordan scenarier kan hjælpe med at adressere den udfordring.",Carrol.pdf,,,,FALSE
2,COMARK,Literature,17,Micro Programming,Tuesday,Micro Programming,SCO Chapter 4.3-4.4,SCO.pdf,,,,FALSE
3,STAT,Literature,17,Analysis of varians,Monday,Variansanalyse,I skal læse kapitel 6 i webbogen hvis i ikke nåede det i sidste uge.,https://data.math.au.dk/interactive/istar/Bog400.html,,,,FALSE
4,EXSYS,Exercises,17,Project status,Monday,Project status,"Fra nu er skal I arbejde på jeres projekter som det primære fokus for tiden udenfor forelæsninger, herunder øvelserne. Der vil være kursus- eller pensumrelaterede ting til øvelserne også, men I skal til at tænke det som et SCRUM møde hvor I skal redegøre for status på jeres projekt, nuværende fokus (backlog og sprint), behov og udfordringer. I den opsætning er jeres gruppe et produktteam der arbejder sammen med andre teams og står til ansvar over for dem i forhold til at holde alle opdateret på udfordringer, ressource deling mm. TAs mm. aggerer SCRUM masters etc.",,TØ17.pdf,,,FALSE
5,COMARK,Exercises,17,Microarchitecture,Friday,Microarchitecture,See the attached exercises,,TØ17.pdf,,,FALSE
6,STAT,Exercises,17,Analysis of varians,Friday,Variansanalyse,Øvelse 6 (Geologi/Biologi/IT) hørende til Kapitel 6: En- og tosidet variansanalyse. Efter øvelsen skal der laves en rapport over opgave 6.4.,,TØ17.pdf,,,FALSE
7,EXSYS,Lectures,17,User stories,Monday,User stories,Vi glæder os til at ser jer!,,Uge17.pdf,uge17.mov,,FALSE
8,EXSYS,Lectures,17,HTML kode,Wednesday,HTML kode,Vi glæder os til at ser jer!,,Uge17.pdf,uge17.mov,,FALSE
9,COMARK,Lectures,17,Micro Programming,Tuesday,Micro Programming,"This week we are going to talk about micro programming, read the chapters in the book",,Uge17.pdf,uge17.mov,,FALSE
10,COMARK,Lectures,17,Micro Programming,Thursday,Micro Programming,"This week we are going to talk about micro programming, read the chapters in the book",,Uge17.pdf,uge17.mov,,FALSE
11,STAT,Lectures,17,Analysis of varians,Tuesday,Variansanalyse,"Tirsdag talte jeg om ensidet og tosidet variansanalyse. Jeg indførte faktor til at dele op i undergrupper, og indførte F-testet for en generel reduktion i en generel lineær model.Fredag omtalte jeg igen F-testet og tosidet variansanalyse. Derefter talte jeg om hvordan man i nogle situationer kan lave et test for en lineær sammenhæng. Jeg sluttede af med at ‘regne’ en opgave omkring ensidet variansanalyse. Det gennemgåede svarer til kapitel 6 i webbogen.I denne uge vil jeg tale om modeller med gruppebestemt regressionskoefficient. Multipel regression.",,Uge17.pdf,uge17.mov,,FALSE
12,STAT,Lectures,17,Regression coefficient,Friday,Regressionskoefficient,Vi fortsætter med at tale om modeller med gruppebestemt regressionskoefficient. Multipel regression.,,Uge17.pdf,uge17.mov,,FALSE
13,EXSYS,Literature,18,Situated Action,Wednesday,Situated Action,"Læsevejledning
I denne uge skal vi fortsætte sporet omkring hvad der sker som en del af samarbejde (Schmidt og Bannon 1992) og relationer mellem aktiviteter (Bødker 2014), nu med et fokus på hvordan aktiviteter udfolder sig i samspil mellem aktører, ressourcer og betingelserne i det der sker nu og her.
I skal læse uddrag fra Suchmans bog ""Plans and Situated Actions"" (1987) , eller rettere to kapitler fra originaludgaven som er en genudgivet i hendes ""Human-machine Reconfigurations"" (2006). Derudover skal vi læse en berømt vision for fremtidens teknologi-brug i Mark Weisers (1991)""Ubiqiotus computing"" idé. Selvom linket ikke er så eksplicit, så er Weisers teknologi-vision stærk inspireret af og bygger på idéer af Suchman (lidt på samme måde som Bardram (2009) arbejder med virksomhedsteori i Activity-Based Computing).
Suchman' sammenligning mellem ""Plans"" og ""Situated Actions"" er vigtig på to måder for vores kursus. Først, så beskriver hun hvordan sammenspillet mellem planer (som materielle manifestationer, se også Schmidt og Bannon 1992) og handling på en måde som I skal bruge når I går i gang med at observere aktivitet og brug i feltarbejde. Derudover, så er skelnen mellem planer og hvad der så sker, og hele Suchmans diskussion deraf stærkt beslægtet med diskussionerne omkring forskellige projekt- og procesmodeller. Så, Suchman giver os også en teoretisk baggrund for diskussion om forskellen mellem softwareudvikling som enten en vandfalds model (plan-dreven) eller en agil model (forløbs-dreven). Forsøg at have det i mente når I læser teksten. De to perspektiver er også beslægtede med Benyons (2014) perspektiver i boks 1.1 (Ibid s.11).
Før I går i gang med at læse er det en god idé at kigge på guiden til at læse akademiske tekster. Den er på Blackboard under Ressourcer i menuen til venstre. Den korte version af læseguiden er:
Afsæt tid til at læse teksten
Forvent at læse dele af teksten flere gang
Tag noter
Skriv en kort opsummering til egen brug i fremtiden
Til hver tekst er der tænke- og diskussionsøvelser som kan guide jer i jeres bearbejdning af teksten. De er vejledende og vil ikke altid dække emnet, da vi som bekendt læser og fortolker tekster forskelligt. I bør forholde jer til inden teoretiske øvelser og være I stand til at diskuterer sammen på holdet.",Suchman.pdf,,,,FALSE
14,COMARK,Literature,18,Ethernet,Friday,,"For this week you have to read: ICN (the first edition): 7.1-7.7, 7.9-7.11,9.1,9.2,9.5",ICN.pdf,,,,FALSE
15,STAT,Literature,18,"Multinomial Models
",Thursday,Multinomialmodellen,I skal læse kapital 4 i webbogen.,https://data.math.au.dk/interactive/istar/Bog400.html,,,,FALSE
